Lighting7	53.42	56.16	57.53	58.90	58.90	58.90	57.53	58.90	56.16	58.90
Gun_Point	93.33	94.00	92.67	92.67	92.67	94.00	93.33	92.67	92.67	92.67
FaceFour	80.68	82.95	81.82	79.55	80.68	84.09	85.23	81.82	81.82	81.82
Lighting2	67.21	70.49	70.49	63.93	68.85	65.57	70.49	70.49	65.57	68.85
Car	80.00	80.00	80.00	81.67	83.33	81.67	80.00	80.00	83.33	80.00
Beef	50.00	46.67	53.33	50.00	46.67	53.33	50.00	53.33	56.67	50.00
Coffee	100.00	100.00	100.00	100.00	100.00	100.00	96.43	100.00	96.43	100.00
Plane	97.14	98.10	98.10	98.10	98.10	99.05	98.10	98.10	98.10	98.10
BeetleFly	80.00	85.00	85.00	80.00	90.00	85.00	80.00	80.00	85.00	80.00
BirdChicken	60.00	60.00	60.00	70.00	55.00	65.00	65.00	70.00	75.00	75.00
ArrowHead	72.57	71.43	74.29	69.14	71.43	69.71	73.14	72.57	70.86	73.71
Herring	60.94	59.38	65.62	64.06	62.50	68.75	59.38	56.25	67.19	57.81
