Lighting7	57.53	60.27	63.01	58.90	60.27	63.01	53.42	58.90	61.64	63.01
Gun_Point	93.33	94.67	93.33	94.00	94.00	93.33	94.00	92.67	94.00	92.67
FaceFour	70.45	82.95	85.23	80.68	84.09	81.82	78.41	80.68	80.68	78.41
Lighting2	72.13	65.57	73.77	68.85	63.93	75.41	72.13	77.05	73.77	70.49
Car	85.00	78.33	76.67	83.33	76.67	81.67	80.00	80.00	83.33	80.00
Beef	66.67	70.00	63.33	70.00	66.67	70.00	60.00	60.00	73.33	60.00
Coffee	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
Plane	96.19	99.05	98.10	98.10	98.10	98.10	98.10	98.10	98.10	96.19
BeetleFly	70.00	90.00	80.00	85.00	65.00	60.00	70.00	65.00	70.00	75.00
BirdChicken	75.00	90.00	75.00	80.00	90.00	90.00	80.00	85.00	95.00	75.00
ArrowHead	79.43	78.86	74.86	74.86	77.14	78.86	78.86	81.14	79.43	84.00
Herring	62.50	56.25	57.81	67.19	59.38	60.94	54.69	59.38	59.38	57.81
