Dataset,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble)
Adiac,0.831199999999999,0.61100,0.60400,0.76471,0.56320,0.76982,0.78261,0.66496,0.79028
ArrowHead,0.85714,0.80000,0.66300,0.83429,0.84571,0.75429,0.73714,0.81143,0.81143
Beef,0.76667,0.66700,0.63300,0.80000,0.76000,0.56667,0.90000,0.63333,0.86667
BeetleFly,0.95,0.70000,0.70000,0.90000,0.80000,0.80000,0.90000,0.75000,0.80000
BirdChicken,0.8,0.70000,0.75000,0.95000,0.80000,0.90000,0.80000,0.80000,0.90000
car,0.86667,0.76700,0.73300,0.83333,0.76667,0.78333,0.91667,0.83333,0.90000
CBF,0.98333,0.99400,0.99700,0.99778,0.99440,0.98778,0.97444,0.99778,0.99556
ChlorineConcentration,0.752599999999999,0.65000,0.64800,0.66094,0.65140,0.69245,0.69974,0.65625,0.72708
CinC_ECG_torso,0.99348,0.93000,0.65100,0.88696,0.83300,0.71232,0.95435,0.94203,0.99493
Coffee,1,1.00000,1.00000,1.00000,1.00000,1.00000,0.96429,1.00000,1.00000
Computers,0.656,0.62000,0.70000,0.75600,0.58400,0.75600,0.73600,0.70800,0.74000
Cricket_X,0.7641,0.77200,0.75400,0.73590,0.79080,0.70513,0.77179,0.81282,0.80769
Cricket_Y,0.78974,0.76200,0.74400,0.75385,0.75130,0.73590,0.77949,0.80513,0.82564
Cricket_Z,0.78718,0.74600,0.75400,0.74615,0.79950,0.71538,0.78718,0.78205,0.81538
DiatomSizeReduction,0.88562,0.93500,0.96700,0.93137,0.96670,0.89869,0.92484,0.94444,0.92810
DistalPhalanxOutlineAgeGroup,0.76978,0.62600,0.77000,0.77000,0.77899,0.78261,0.77536,0.72826,0.76087
DistalPhalanxOutlineCorrect,0.77899,0.72500,0.71700,0.73900,0.71942,0.71223,0.76978,0.69065,0.74820
DistalPhalanxTW,0.67626,0.63300,0.59000,0.70500,0.62590,0.67626,0.66187,0.64748,0.69784
Earthquakes,0.7482,0.72700,0.71900,0.74800,0.74101,0.74820,0.74101,0.74101,0.74820
ECG200,0.85,0.88000,0.77000,0.87000,0.87400,0.84000,0.83000,0.88000,0.88000
ECG5000,0.94822,0.92500,0.75000,0.94133,0.93222,0.93956,0.94378,0.93867,0.94600
ECGFiveDays,1,0.79700,0.76800,1.00000,1.00000,0.87689,0.98374,0.81998,0.99884
ElectricDevices,0.73285,0.62500,0.60100,0.79925,0.58747,0.70250,0.74698,0.66295,0.71327
FaceAll,0.78698,0.80800,0.80800,0.78166,0.78250,0.74438,0.77870,0.84852,0.91775
FaceFour,1,0.88600,0.83000,1.00000,0.95220,1.00000,0.85227,0.90909,0.89773
FacesUCR,0.9522,0.91200,0.90500,0.95707,0.94130,0.86683,0.90585,0.94488,0.94244
FiftyWords,0.81099,0.76500,0.69000,0.70549,0.76810,0.75824,0.70549,0.81978,0.79780
Fish,0.96571,0.84600,0.82300,0.98857,0.93370,0.83429,0.98857,0.96571,0.98286
FordA,0.97273,0.69100,0.55500,0.91400,0.95682,0.85000,0.97121,0.73788,0.95682
