Dataset, Proposed, MDDTW_{1nn}, MDDTW_{SVM}, DTW  LBM
JapaneseVowels         , 1.0   , 0.014, .009, .037, .081
ECG                    , 1.0   , 0.135, .125, .175, .310
Wafer                  , 1.0   , 0.012, .010, .016, .064
AUSLAN                 , 1.0   , 0.041, .042, .100, .237
PenDigits              , 1.0   , 0.006, .006, .007, .122
RobotEF-LP1            , 1.0   , 0.091, .079, .125, .375
RobotEF-LP2            , 1.0   , 0.277, .321, .298, .400
RobotEF-LP3            , 1.0   , 0.298, .255, .320, .362
RobotEF-LP4            , 1.0   , 0.077, .034, .112, .163
RobotEF-LP5            , 1.0   , 0.275, .287, .293, .348
Libras                 , 1.0   , 0.092, .117, .095, .189
ArabicDigits           , 1.0   , 0.031, .004, .037, .237
CharacterTrajectories  , 1.0   , 0.039, .010, .044, .143
