Dataset,Proposed,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelets,TSBF,ST,EE,COTE (ensemble)
50Words,0.693095,0.81099,0.765,0.69,0.70549,0.7681,0.75824,0.70549,0.81978,0.7978
Adiac,0.822857,0.831199999999999,0.611,0.604,0.76471,0.5632,0.76982,0.78261,0.66496,0.79028
ArrowHead,0.833333,0.85714,0.8,0.663,0.83429,0.84571,0.75429,0.73714,0.81143,0.81143
Beef,0.8,0.76667,0.667,0.633,0.8,0.76,0.56667,0.9,0.63333,0.86667
BeetleFly,0.9,0.95,0.7,0.7,0.9,0.8,0.8,0.9,0.75,0.8
BirdChicken,0.866667,0.8,0.7,0.75,0.95,0.8,0.9,0.8,0.8,0.9
car,0.965556,0.86667,0.767,0.733,0.83333,0.76667,0.78333,0.91667,0.83333,0.9
CBF,0.688542,0.98333,0.994,0.997,0.99778,0.9944,0.98778,0.97444,0.99778,0.99556
ChlorineConcentration,0.965217,0.752599999999999,0.65,0.648,0.66094,0.6514,0.69245,0.69974,0.65625,0.72708
CinC_ECG_torso,1,0.99348,0.93,0.651,0.88696,0.833,0.71232,0.95435,0.94203,0.99493
Coffee,0.596,1,1,1,1,1,1,0.96429,1,1
Computers,0.7,0.656,0.62,0.7,0.756,0.584,0.756,0.736,0.708,0.74
Cricket_X,0.697436,0.7641,0.772,0.754,0.7359,0.7908,0.70513,0.77179,0.81282,0.80769
Cricket_Y,0.7,0.78974,0.762,0.744,0.75385,0.7513,0.7359,0.77949,0.80513,0.82564
Cricket_Z,0.934641,0.78718,0.746,0.754,0.74615,0.7995,0.71538,0.78718,0.78205,0.81538
DiatomSizeReduction,0.82,0.88562,0.935,0.967,0.93137,0.9667,0.89869,0.92484,0.94444,0.9281
DistalPhalanxOutlineAgeGroup,0.795,0.76978,0.626,0.77,0.77,0.77899,0.78261,0.77536,0.72826,0.76087
DistalPhalanxOutlineCorrect,0.76,0.77899,0.725,0.717,0.739,0.71942,0.71223,0.76978,0.69065,0.7482
DistalPhalanxTW,0.729813664596,0.67626,0.633,0.59,0.705,0.6259,0.67626,0.66187,0.64748,0.69784
Earthquakes,0.92,0.7482,0.727,0.719,0.748,0.74101,0.7482,0.74101,0.74101,0.7482
ECG200,0.936888888889,0.85,0.88,0.77,0.87,0.874,0.84,0.83,0.88,0.88
