accuracy,dataset,network,poolsize
0.704918032787,Lighting2,triplet_siamese_cnn,0.05
0.77275265215,uWaveGestureLibrary_X,triplet_siamese_cnn,0.05
0.855431309904,MoteStrain,triplet_siamese_cnn,0.05
0.706588498046,uWaveGestureLibrary_Z,triplet_siamese_cnn,0.05
0.92,ECG200,triplet_siamese_cnn,0.05
0.809756097561,ProximalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.05
0.934152765584,TwoLeadECG,triplet_siamese_cnn,0.05
1.0,Coffee,triplet_siamese_cnn,0.05
0.7,Cricket_Y,triplet_siamese_cnn,0.05
0.770382695507,SonyAIBORobotSurface,triplet_siamese_cnn,0.05
0.884478371501,NonInvasiveFatalECG_Thorax2,triplet_siamese_cnn,0.05
0.901951219512,FacesUCR,triplet_siamese_cnn,0.05
0.583959899749,MiddlePhalanxTW,triplet_siamese_cnn,0.05
0.859333333333,Yoga,triplet_siamese_cnn,0.05
0.8,Beef,triplet_siamese_cnn,0.05
0.885365853659,FacesUCR,triplet_siamese_cnn,0.05
0.7575,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.05
0.662280701754,ToeSegmentation1,triplet_siamese_cnn,0.05
0.983,Two_Patterns,triplet_siamese_cnn,0.05
0.785,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.05
0.704918032787,Lighting2,triplet_siamese_cnn,0.1
0.777498604132,uWaveGestureLibrary_X,triplet_siamese_cnn,0.1
0.852236421725,MoteStrain,triplet_siamese_cnn,0.1
0.709380234506,uWaveGestureLibrary_Z,triplet_siamese_cnn,0.1
0.89,ECG200,triplet_siamese_cnn,0.1
0.814634146341,ProximalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.1
0.982440737489,TwoLeadECG,triplet_siamese_cnn,0.1
1.0,Coffee,triplet_siamese_cnn,0.1
0.671794871795,Cricket_Y,triplet_siamese_cnn,0.1
0.787021630616,SonyAIBORobotSurface,triplet_siamese_cnn,0.1
0.876844783715,NonInvasiveFatalECG_Thorax2,triplet_siamese_cnn,0.1
0.905365853659,FacesUCR,triplet_siamese_cnn,0.1
0.573934837093,MiddlePhalanxTW,triplet_siamese_cnn,0.1
0.855666666667,Yoga,triplet_siamese_cnn,0.1
0.733333333333,Beef,triplet_siamese_cnn,0.1
0.902926829268,FacesUCR,triplet_siamese_cnn,0.1
0.8075,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.1
0.736842105263,ToeSegmentation1,triplet_siamese_cnn,0.1
0.9945,Two_Patterns,triplet_siamese_cnn,0.1
0.78,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.1
0.754098360656,Lighting2,triplet_siamese_cnn,0.15
0.77275265215,uWaveGestureLibrary_X,triplet_siamese_cnn,0.15
0.821086261981,MoteStrain,triplet_siamese_cnn,0.15
0.702959240648,uWaveGestureLibrary_Z,triplet_siamese_cnn,0.15
0.91,ECG200,triplet_siamese_cnn,0.15
0.814634146341,ProximalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.15
0.96049165935,TwoLeadECG,triplet_siamese_cnn,0.15
1.0,Coffee,triplet_siamese_cnn,0.15
0.620512820513,Cricket_Y,triplet_siamese_cnn,0.15
0.655574043261,SonyAIBORobotSurface,triplet_siamese_cnn,0.15
0.870229007634,NonInvasiveFatalECG_Thorax2,triplet_siamese_cnn,0.15
0.884390243902,FacesUCR,triplet_siamese_cnn,0.15
0.558897243108,MiddlePhalanxTW,triplet_siamese_cnn,0.15
0.843,Yoga,triplet_siamese_cnn,0.15
0.733333333333,Beef,triplet_siamese_cnn,0.15
0.89512195122,FacesUCR,triplet_siamese_cnn,0.15
0.8,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.15
0.771929824561,ToeSegmentation1,triplet_siamese_cnn,0.15
0.9985,Two_Patterns,triplet_siamese_cnn,0.15
0.7775,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.15
0.737704918033,Lighting2,triplet_siamese_cnn,0.2
0.782244556114,uWaveGestureLibrary_X,triplet_siamese_cnn,0.2
0.833865814696,MoteStrain,triplet_siamese_cnn,0.2
0.709659408152,uWaveGestureLibrary_Z,triplet_siamese_cnn,0.2
0.9,ECG200,triplet_siamese_cnn,0.2
0.829268292683,ProximalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.2
0.979806848112,TwoLeadECG,triplet_siamese_cnn,0.2
1.0,Coffee,triplet_siamese_cnn,0.2
0.651282051282,Cricket_Y,triplet_siamese_cnn,0.2
0.792013311148,SonyAIBORobotSurface,triplet_siamese_cnn,0.2
0.865139949109,NonInvasiveFatalECG_Thorax2,triplet_siamese_cnn,0.2
0.886341463415,FacesUCR,triplet_siamese_cnn,0.2
0.571428571429,MiddlePhalanxTW,triplet_siamese_cnn,0.2
0.857,Yoga,triplet_siamese_cnn,0.2
0.633333333333,Beef,triplet_siamese_cnn,0.2
0.896097560976,FacesUCR,triplet_siamese_cnn,0.2
0.77,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.2
0.820175438596,ToeSegmentation1,triplet_siamese_cnn,0.2
0.999,Two_Patterns,triplet_siamese_cnn,0.2
0.8325,DistalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.2
0.770491803279,Lighting2,triplet_siamese_cnn,0.25
0.764098269123,uWaveGestureLibrary_X,triplet_siamese_cnn,0.25
0.846645367412,MoteStrain,triplet_siamese_cnn,0.25
0.695700725851,uWaveGestureLibrary_Z,triplet_siamese_cnn,0.25
0.89,ECG200,triplet_siamese_cnn,0.25
0.8,ProximalPhalanxOutlineAgeGroup,triplet_siamese_cnn,0.25
0.96839332748,TwoLeadECG,triplet_siamese_cnn,0.25
1.0,Coffee,triplet_siamese_cnn,0.25
0.615384615385,Cricket_Y,triplet_siamese_cnn,0.25
0.772046589018,SonyAIBORobotSurface,triplet_siamese_cnn,0.25
0.855470737913,NonInvasiveFatalECG_Thorax2,triplet_siamese_cnn,0.25
0.896585365854,FacesUCR,triplet_siamese_cnn,0.25
